beam no,beam center ra [deg],beam center dec [deg],SB
9,29.766875000000002,-15.17796388888889,0200-14
10,30.699379166666667,-15.177075,0200-14
11,31.6320375,-15.172641666666667,0200-14
12,32.565041666666666,-15.164658333333334,0200-14
13,27.444145833333334,-14.385239444444444,0200-14
14,28.373808333333336,-14.393191666666667,0200-14
15,29.30312083333333,-14.397608333333334,0200-14
16,30.2322875,-14.398491666666667,0200-14
17,31.161500000000004,-14.395841666666666,0200-14
18,32.090962499999996,-14.389658333333333,0200-14
19,27.916116666666667,-13.610291666666667,0200-14
20,28.842433333333332,-13.616455555555556,0200-14
21,29.76849583333333,-13.619097222222223,0200-14
22,30.694512500000002,-13.618216944444445,0200-14
23,31.62067916666667,-13.613813888888888,0200-14
24,32.54719583333333,-13.605886111111111,0200-14
25,27.460933333333333,-12.826455555555556,0200-14
26,28.38449166666667,-12.834360555555556,0200-14
27,29.3077,-12.838747222222223,0200-14
28,30.230758333333338,-12.839625,0200-14
29,31.153866666666666,-12.836991666666666,0200-14
30,32.077225000000006,-12.830847222222221,0200-14
31,27.929000000000002,-12.05119111111111,0200-14
32,28.849587500000002,-12.057319444444444,0200-14
33,29.769929166666667,-12.059944444444444,0200-14
34,30.690216666666664,-12.059069444444445,0200-14
35,31.61065833333333,-12.054691666666667,0200-14
36,32.53145,-12.046811111111111,0200-14
1,134.877275,-57.591091666666664,0917-55
2,136.55618333333334,-57.640225,0917-55
3,138.23786666666666,-57.667539444444444,0917-55
4,139.92074166666666,-57.673002777777775,0917-55
5,141.60321666666667,-57.65661111111111,0917-55
6,143.28370833333332,-57.618385277777776,0917-55
7,135.79542916666668,-56.83988055555555,0917-55
8,137.4408375,-56.877294444444445,0917-55
9,139.088075,-56.89333611111111,0917-55
10,140.73567916666667,-56.88798888888889,0917-55
11,142.38218333333333,-56.86125833333333,0917-55
12,144.02613333333335,-56.81316944444445,0917-55
13,135.06567916666665,-56.035355277777775,0917-55
14,136.6763875,-56.082458333333335,0917-55
15,138.28945416666667,-56.108641666666664,0917-55
16,139.90354166666668,-56.11388055555555,0917-55
17,141.5172875,-56.098166666666664,0917-55
18,143.12934166666665,-56.06151944444444,0917-55
19,135.9422375,-55.28316944444445,0917-55
20,137.52255416666665,-55.319094722222225,0917-55
21,139.10442916666665,-55.33449638888889,0917-55
22,140.68662083333334,-55.32936111111111,0917-55
23,142.267875,-55.303694444444446,0917-55
24,143.84694166666668,-55.25751666666667,0917-55
25,135.23629583333332,-54.47951944444444,0917-55
26,136.78521666666666,-54.52482222222222,0917-55
27,138.33615833333334,-54.55000166666667,0917-55
28,139.88797083333333,-54.555036111111114,0917-55
29,141.43949166666667,-54.53992777777778,0917-55
30,142.9895625,-54.50468611111111,0917-55
31,136.07545833333333,-53.72593611111111,0917-55
32,137.59669166666666,-53.76053611111111,0917-55
33,139.11927083333333,-53.77536666666666,0917-55
34,140.64211666666668,-53.77042222222222,0917-55
35,142.16415416666666,-53.74570555555555,0917-55
36,143.6843166666667,-53.701231666666665,0917-55
1,42.624900000000004,-39.15556111111111,0303-37
2,43.786,-39.18042222222222,0303-37
3,44.947224999999996,-39.194230555555556,0303-37
4,46.1085,-39.19699166666667,0303-37
5,47.26975833333333,-39.18870833333333,0303-37
6,48.43092916666667,-39.16937361111111,0303-37
7,43.233850000000004,-38.390005555555554,0303-37
8,44.382395833333334,-38.409125,0303-37
9,45.531020833333336,-38.4173175,0303-37
10,46.679658333333336,-38.41458611111111,0303-37
11,47.828250000000004,-38.4009325,0303-37
12,48.97674166666667,-38.37635,0303-37
13,42.6930125,-37.597322222222225,0303-37
14,43.829375,-37.62164166666667,0303-37
15,44.96582083333333,-37.635149444444444,0303-37
16,46.1023,-37.63785,0303-37
17,47.238770833333334,-37.62974444444444,0303-37
18,48.37517916666666,-37.61083333333333,0303-37
19,43.287475,-36.831716666666665,0303-37
20,44.41220416666666,-36.85043611111111,0303-37
21,45.53698333333333,-36.85845555555556,0303-37
22,46.661770833333335,-36.855783333333335,0303-37
23,47.78652916666667,-36.84241388888889,0303-37
24,48.91122083333334,-36.81834666666666,0303-37
25,42.756054166666665,-36.03927222222222,0303-37
26,43.86951666666667,-36.06310277777778,0303-37
27,44.98302916666666,-36.076341666666664,0303-37
28,46.0965625,-36.07898888888889,0303-37
29,47.21009166666667,-36.07104722222222,0303-37
30,48.32358333333333,-36.05251388888889,0303-37
31,43.33713333333334,-35.27308333333333,0303-37
32,44.43980416666667,-35.291444444444444,0303-37
33,45.54250416666667,-35.29931111111111,0303-37
34,46.64520833333333,-35.29668888888889,0303-37
